id	feature	auc	p_value	p_adjusted	cohens_d	n_pos	n_neg	ci_lower	ci_upper	status	description
1	rmssd_3d_mean	0.155	0.86014	0.0	0.0507	371	737	0.1306	0.1803	PENDING	Does rmssd_3d_mean predict PHQ-9 ≥ 5 (mild+ depression)?
2	rmssd_3d_mean	0.155	0.874126	0.0	0.0507	371	737	0.1321	0.1803	PENDING	Does rmssd_3d_mean predict PHQ-9 increased from baseline?
3	rmssd_3d_std	0.3891	0.116883	0.0	0.502	371	737	0.3487	0.4266	PENDING	Does rmssd_3d_std predict PHQ-9 ≥ 5 (mild+ depression)?
4	rmssd_3d_std	0.3891	0.0999	0.0	0.502	371	737	0.3517	0.426	PENDING	Does rmssd_3d_std predict PHQ-9 increased from baseline?
5	rmssd_3d_cv	0.4154	0.070929	0.0	0.5385	371	737	0.379	0.4501	PENDING	Does rmssd_3d_cv predict PHQ-9 ≥ 5 (mild+ depression)?
6	rmssd_3d_cv	0.4154	0.077922	0.0	0.5385	371	737	0.3776	0.456	PENDING	Does rmssd_3d_cv predict PHQ-9 increased from baseline?
7	rmssd_3d_slope	0.1931	0.002997	0.0	0.9228	371	737	0.162	0.2224	PENDING	Does rmssd_3d_slope predict PHQ-9 ≥ 5 (mild+ depression)?
8	rmssd_3d_slope	0.1931	0.005994	0.0	0.9228	371	737	0.1645	0.2235	PENDING	Does rmssd_3d_slope predict PHQ-9 increased from baseline?
9	rmssd_3d_autocorr	0.044	0.582418	0.0	0.1579	371	737	0.0335	0.0561	PENDING	Does rmssd_3d_autocorr predict PHQ-9 ≥ 5 (mild+ depression)?
10	rmssd_3d_autocorr	0.044	0.627373	0.0	0.1579	371	737	0.033	0.0569	PENDING	Does rmssd_3d_autocorr predict PHQ-9 increased from baseline?
11	rmssd_5d_mean	0.3558	0.97003	0.0	0.009	319	617	0.3197	0.3962	PENDING	Does rmssd_5d_mean predict PHQ-9 ≥ 5 (mild+ depression)?
12	rmssd_5d_mean	0.3558	0.975025	0.0	0.009	319	617	0.3195	0.3942	PENDING	Does rmssd_5d_mean predict PHQ-9 increased from baseline?
13	rmssd_5d_std	0.4424	0.063936	0.0	0.563	319	617	0.4011	0.4839	PENDING	Does rmssd_5d_std predict PHQ-9 ≥ 5 (mild+ depression)?
14	rmssd_5d_std	0.4424	0.065934	0.0	0.563	319	617	0.3978	0.4849	PENDING	Does rmssd_5d_std predict PHQ-9 increased from baseline?
15	rmssd_5d_cv	0.428	0.071928	0.0	0.5602	319	617	0.3866	0.4734	PENDING	Does rmssd_5d_cv predict PHQ-9 ≥ 5 (mild+ depression)?
16	rmssd_5d_cv	0.428	0.076923	0.0	0.5602	319	617	0.3893	0.466	PENDING	Does rmssd_5d_cv predict PHQ-9 increased from baseline?
17	rmssd_5d_slope	0.0927	0.707293	0.0	0.122	319	617	0.0697	0.1186	PENDING	Does rmssd_5d_slope predict PHQ-9 ≥ 5 (mild+ depression)?
18	rmssd_5d_slope	0.0927	0.68032	0.0	0.122	319	617	0.0687	0.1155	PENDING	Does rmssd_5d_slope predict PHQ-9 increased from baseline?
19	rmssd_5d_autocorr	0.3469	0.136863	0.0	0.4544	319	617	0.3133	0.3804	PENDING	Does rmssd_5d_autocorr predict PHQ-9 ≥ 5 (mild+ depression)?
20	rmssd_5d_autocorr	0.3469	0.121878	0.0	0.4544	319	617	0.3123	0.3816	PENDING	Does rmssd_5d_autocorr predict PHQ-9 increased from baseline?
21	rmssd_7d_mean	0.3961	0.856144	0.0	0.0548	278	514	0.3537	0.4343	PENDING	Does rmssd_7d_mean predict PHQ-9 ≥ 5 (mild+ depression)?
22	rmssd_7d_mean	0.3961	0.869131	0.0	0.0548	278	514	0.3576	0.4379	PENDING	Does rmssd_7d_mean predict PHQ-9 increased from baseline?
23	rmssd_7d_std	0.4821	0.025974	0.0	0.6775	278	514	0.436	0.5269	PENDING	Does rmssd_7d_std predict PHQ-9 ≥ 5 (mild+ depression)?
24	rmssd_7d_std	0.4821	0.022977	0.0	0.6775	278	514	0.4398	0.5289	PENDING	Does rmssd_7d_std predict PHQ-9 increased from baseline?
25	rmssd_7d_cv	0.4573	0.030969	0.0	0.6572	278	514	0.4119	0.5021	PENDING	Does rmssd_7d_cv predict PHQ-9 ≥ 5 (mild+ depression)?
26	rmssd_7d_cv	0.4573	0.023976	0.0	0.6572	278	514	0.4074	0.502	PENDING	Does rmssd_7d_cv predict PHQ-9 increased from baseline?
27	rmssd_7d_slope	0.1771	0.513487	0.0	0.2102	278	514	0.1447	0.207	PENDING	Does rmssd_7d_slope predict PHQ-9 ≥ 5 (mild+ depression)?
28	rmssd_7d_slope	0.1771	0.511489	0.0	0.2102	278	514	0.1446	0.2128	PENDING	Does rmssd_7d_slope predict PHQ-9 increased from baseline?
29	rmssd_7d_autocorr	0.4201	0.090909	0.0	0.5519	278	514	0.3794	0.4595	PENDING	Does rmssd_7d_autocorr predict PHQ-9 ≥ 5 (mild+ depression)?
30	rmssd_7d_autocorr	0.4201	0.05994	0.0	0.5519	278	514	0.3811	0.4609	PENDING	Does rmssd_7d_autocorr predict PHQ-9 increased from baseline?
31	rmssd_14d_mean	0.4134	0.38961	0.0	0.293	169	277	0.3586	0.4702	PENDING	Does rmssd_14d_mean predict PHQ-9 ≥ 5 (mild+ depression)?
32	rmssd_14d_mean	0.4134	0.407592	0.0	0.293	169	277	0.3599	0.464	PENDING	Does rmssd_14d_mean predict PHQ-9 increased from baseline?
33	rmssd_14d_std	0.4004	0.043956	0.0	0.6751	169	277	0.341	0.4555	PENDING	Does rmssd_14d_std predict PHQ-9 ≥ 5 (mild+ depression)?
34	rmssd_14d_std	0.4004	0.046953	0.0	0.6751	169	277	0.3446	0.4556	PENDING	Does rmssd_14d_std predict PHQ-9 increased from baseline?
35	rmssd_14d_cv	0.3424	0.104895	0.0	0.5718	169	277	0.2875	0.4003	PENDING	Does rmssd_14d_cv predict PHQ-9 ≥ 5 (mild+ depression)?
36	rmssd_14d_cv	0.3424	0.111888	0.0	0.5718	169	277	0.2888	0.3963	PENDING	Does rmssd_14d_cv predict PHQ-9 increased from baseline?
37	rmssd_14d_slope	0.0751	0.185814	0.0	0.4529	169	277	0.0501	0.1022	PENDING	Does rmssd_14d_slope predict PHQ-9 ≥ 5 (mild+ depression)?
38	rmssd_14d_slope	0.0751	0.191808	0.0	0.4529	169	277	0.0499	0.1057	PENDING	Does rmssd_14d_slope predict PHQ-9 increased from baseline?
39	rmssd_14d_autocorr	0.5206	0.15984	0.0	0.4791	169	277	0.4636	0.5709	PENDING	Does rmssd_14d_autocorr predict PHQ-9 ≥ 5 (mild+ depression)?
40	rmssd_14d_autocorr	0.5206	0.16983	0.0	0.4791	169	277	0.4677	0.5735	PENDING	Does rmssd_14d_autocorr predict PHQ-9 increased from baseline?
41	rmssd_21d_mean	0.3466	0.251748	0.0	0.4743	85	128	0.2798	0.4287	PENDING	Does rmssd_21d_mean predict PHQ-9 ≥ 5 (mild+ depression)?
42	rmssd_21d_mean	0.3466	0.253746	0.0	0.4743	85	128	0.2678	0.4247	PENDING	Does rmssd_21d_mean predict PHQ-9 increased from baseline?
43	rmssd_21d_std	0.0858	0.463536	0.0	0.3006	85	128	0.0443	0.1403	PENDING	Does rmssd_21d_std predict PHQ-9 ≥ 5 (mild+ depression)?
44	rmssd_21d_std	0.0858	0.461538	0.0	0.3006	85	128	0.0442	0.1406	PENDING	Does rmssd_21d_std predict PHQ-9 increased from baseline?
45	rmssd_21d_cv	0.019	0.762238	0.0	0.1273	85	128	0.0031	0.0381	PENDING	Does rmssd_21d_cv predict PHQ-9 ≥ 5 (mild+ depression)?
46	rmssd_21d_cv	0.019	0.748252	0.0	0.1273	85	128	0.0022	0.0391	PENDING	Does rmssd_21d_cv predict PHQ-9 increased from baseline?
47	rmssd_21d_slope	0.0	0.881119	0.0	0.0627	85	128	0.0	0.0	PENDING	Does rmssd_21d_slope predict PHQ-9 ≥ 5 (mild+ depression)?
48	rmssd_21d_slope	0.0	0.872128	0.0	0.0627	85	128	0.0	0.0	PENDING	Does rmssd_21d_slope predict PHQ-9 increased from baseline?
